,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
146,2009/5/29,8300,158150,343850,290200,0,0,0,0,0,0,0
147,2009/5/30,5450,160300,344800,295400,0,0,0,0,0,0,0
148,2009/5/31,4800,160100,345700,300150,0,0,0,0,0,0,0
149,2009/6/1,3600,158250,347350,305100,0,0,0,0,0,0,0
150,2009/6/2,5550,156750,347350,310200,0,0,0,0,0,0,0
151,2009/6/3,3550,154750,348950,316150,0,0,0,0,0,0,0
152,2009/6/4,3300,151250,350650,321500,0,0,0,0,0,0,0
153,2009/6/5,1500,148000,352200,326500,0,0,0,0,0,0,0
154,2009/6/6,1400,143400,353500,331300,0,0,0,0,0,0,0
155,2009/6/7,800,139500,352350,337750,0,0,0,0,0,0,0
156,2009/6/8,4100,136550,351300,342550,0,0,0,0,0,0,0
157,2009/6/9,4550,136500,350550,347450,0,0,0,0,0,0,0
158,2009/6/10,4100,134950,351300,352800,0,0,0,0,0,0,0
159,2009/6/11,4450,132550,352250,358350,0,0,0,0,0,0,0
160,2009/6/12,4300,131400,351700,364500,0,0,0,0,0,0,0
161,2009/6/13,3900,128700,353250,369950,0,0,0,0,0,0,0
162,2009/6/14,3600,125750,354150,375900,0,0,0,0,0,0,0
163,2009/6/15,4200,123650,351650,384100,0,0,0,0,0,0,0
164,2009/6/16,3550,121700,352500,389400,0,0,0,0,0,0,0
165,2009/6/17,3950,119500,352150,395500,0,0,0,0,0,0,0
166,2009/6/18,4000,119350,350550,401200,0,0,0,0,0,0,0
167,2009/6/19,4350,117850,349950,407300,0,0,0,0,0,0,0
168,2009/6/20,3900,118300,351900,409250,0,0,0,0,0,0,0
169,2009/6/21,4050,119300,348900,415150,0,0,0,0,0,0,0
170,2009/6/22,6800,118800,344200,421400,0,0,0,0,0,0,0
171,2009/6/23,3800,120850,344000,426350,0,0,0,0,0,0,0
172,2009/6/24,4898.98,119350.01,343801.01,431700,0,0,0,0,0,0,0
173,2009/6/25,4400,117248.99,342851.01,438650,0,0,0,0,0,0,0
174,2009/6/26,4500,115898.99,343851.01,443400,0,0,0,0,0,0,0
175,2009/6/27,4200,115748.99,342051.01,449850,0,0,0,0,0,0,0
176,2009/6/28,2350,111848.99,344651.01,455300,0,0,0,0,0,0,0
177,2009/6/29,4200,109098.99,344451.01,460550,0,0,0,0,0,0,0
178,2009/6/30,4345,108703.99,342201.01,467300,0,0,0,0,0,0,0
179,2009/7/1,3800,109698.98,340101.02,472650,0,0,0,0,0,0,0
180,2009/7/2,4200,107898.98,340301.02,478000,0,0,0,0,0,0,0
181,2009/7/3,4100,108548.98,338551.02,483300,0,0,0,0,0,0,0
182,2009/7/4,4450,109348.98,336651.02,488450,50,0,0,0,0,0,0
183,2009/7/5,3950,112298.98,331401.02,495200,50,0,0,0,0,0,0
184,2009/7/6,4200,114848.98,327701.02,500300,50,0,0,0,0,0,0
185,2009/7/7,3450,118248.98,323751.02,505050,50,0,0,0,0,0,0
186,2009/7/8,3700,117598.98,322901.02,510000,50,0,0,0,0,0,0
187,2009/7/9,4300,116998.98,322651.02,514550,50,0,0,0,0,0,0
188,2009/7/10,4050,117398.98,321451.02,519000,700,0,0,0,0,0,0
189,2009/7/11,4150,117298.98,320001.02,521550,3750,0,0,0,0,0,0
190,2009/7/12,3850,117348.98,317851.02,523150,8400,0,0,0,0,0,0
191,2009/7/13,3900,117448.98,316001.02,524011,13139,0,0,0,0,0,0
192,2009/7/14,3450,117948.98,313601.02,524011,18939,0,0,0,0,0,0
193,2009/7/15,2250,117448.98,312051.02,523800,24650,0,0,0,0,0,0
194,2009/7/16,3550,116148.98,309651.02,523475,30925,0,0,0,0,0,0
195,2009/7/17,2350,115748.98,308001.02,523825,36175,0,0,0,0,0,0
196,2009/7/18,200,114148.98,305701.02,525325,40925,0,0,0,0,0,0
197,2009/7/19,3500,110248.98,303501.02,526575,45975,0,0,0,0,0,0
198,2009/7/20,9549.67,104048.98,295701.02,532000.33,52000,0,0,0,0,0,0
199,2009/7/21,4100,109548.65,293901.02,532250.33,57600,0,0,0,0,0,0
200,2009/7/22,3000,106948.65,295001.02,533000.33,62450,0,0,0,0,0,0
201,2009/7/23,3800,106448.65,295001.02,531800.33,67150,0,0,0,0,0,0
202,2009/7/24,3650,105599.67,294200,532900.33,71500,0,0,0,0,0,0
203,2009/7/25,1600,105099.67,292800,528450.33,81500,0,0,0,0,0,0
204,2009/7/26,1050,102449.67,290800,525600.33,90600,0,0,0,0,0,0
205,2009/7/27,3700,99749.67,289400,525400.33,95950,0,0,0,0,0,0
206,2009/7/28,2050,101274.67,286025,526200.33,100700,0,0,0,0,0,0
207,2009/7/29,1050,99544.67,282705,527900.33,106000,0,0,0,0,0,0
208,2009/7/30,800,96749.67,280350,527600.33,112450,0,0,0,0,0,0
209,2009/7/31,850,93849.67,278400,527800.33,117900,0,0,0,0,0,0
210,2009/8/1,1400,90699.67,275750,528100.33,124250,0,0,0,0,0,0
211,2009/8/2,1150,88449.67,274300,527650.33,129800,0,0,0,0,0,0
212,2009/8/3,600,85499.67,270850,529250.33,135750,0,0,0,0,0,0
213,2009/8/4,4050,82449.67,267450,529300.37,142749.96,0,0,0,0,0,0
214,2009/8/5,4350,82449.67,264950,530200.37,148399.96,0,0,0,0,0,0
215,2009/8/6,4500,83449.67,262200,530200.37,154499.96,0,0,0,0,0,0
216,2009/8/7,9549.53,79250.14,260050,529550.37,160449.96,0,0,0,0,0,0
217,2009/8/8,4000,84899.67,260200,526250.37,167499.96,0,0,0,0,0,0
218,2009/8/9,5050,85099.67,259850,523200.37,174699.96,0,0,0,0,0,0
219,2009/8/10,3750,86349.67,257550,520600.37,183399.96,0,0,0,0,0,0
220,2009/8/11,3500,86399.67,254750,521200.37,189299.96,0,0,0,0,0,0
221,2009/8/12,3150,86349.67,252748.99,519901.34,196150,0,0,0,0,0,0
222,2009/8/13,4250,86249.67,248998.99,521201.34,201850,0,0,0,0,0,0
223,2009/8/14,3150,88499.67,244148.99,522201.34,207700,0,0,0,0,0,0
224,2009/8/15,1300,88399.67,241698.99,521551.34,214050,0,0,0,0,0,0
225,2009/8/16,950,87599.67,237648.99,521151.34,220600,0,0,0,0,0,0
226,2009/8/17,850,88349.67,232098.99,519701.34,227800,0,0,0,0,0,0
227,2009/8/18,500,86049.67,231148.99,518301.34,233300,0,0,0,0,0,0
228,2009/8/19,900,77299.53,234899.13,518101.34,239000,0,0,0,0,0,0
