Date,Volume
2021/3/20,51943414539 
2021/3/19,50361731222 
2021/3/18,49063873786 
2021/3/17,55746041000 
2021/3/16,60258313191 
2021/3/15,59749798599 
2021/3/14,66419369890 
2021/3/13,43901225564 
2021/3/12,60669829814 
2021/3/11,55689944702 
2021/3/10,56772343595 
2021/3/9,57295577614 
2021/3/8,50912227385 
2021/3/7,48597428048 
2021/3/6,43137459378 
2021/3/5,34363564661 
2021/3/4,48625928883 
2021/3/3,52343816680 
2021/3/2,53220811975 
2021/3/1,47530897720 
2021/2/28,53891300112 
2021/2/27,53443887451 
2021/2/26,45910946382 
2021/2/25,350967941479 
2021/2/24,54506565949 
2021/2/23,63695521388 
2021/2/22,106102492824 
2021/2/21,92052420332 
2021/2/20,51897585191 
2021/2/19,68145460026 
2021/2/18,63495496918 
2021/2/17,52054723579 
2021/2/16,80820545404 
2021/2/15,77049582886 
2021/2/14,77069903166 
2021/2/13,71248675228 
2021/2/12,70250456155 
2021/2/11,76555041196 
2021/2/10,81388911810 
2021/2/9,87301089896 
2021/2/8,91809846886 
2021/2/7,101467222687 
2021/2/6,65500641143 
2021/2/5,71326033653 
2021/2/4,58598066402 
2021/2/3,68838074392 
2021/2/2,61166818159 
2021/2/1,63088585433 
2021/1/31,61400400660 
2021/1/30,52754542671 
2021/1/29,65141828798 
2021/1/28,117894572511 
2021/1/27,76517157706 
2021/1/26,62576762015 
2021/1/25,60255421470 
2021/1/24,59897054838 
2021/1/23,48643830599 
2021/1/22,48354737975 
2021/1/21,77207272511 
2021/1/20,75643067688 
2021/1/19,66834573161 
2021/1/18,57244195486 
2021/1/17,49511702429 
2021/1/16,52359854336 
2021/1/15,57706187875 
2021/1/14,67760757881 
2021/1/13,63615990033 
2021/1/12,69364315979 
2021/1/11,74773277909 
2021/1/10,123320567399 
2021/1/9,79980747690 
2021/1/8,61984162837 
2021/1/7,88107519480 
2021/1/6,84762141031 
2021/1/5,75289433811 
2021/1/4,67547324782 
2021/1/3,81163475344 
2021/1/2,78665235202 
2021/1/1,67865420765 
2020/12/31,40730301359 
2020/12/30,46754964848 
2020/12/29,51287442704 
2020/12/28,45265946774 
2020/12/27,49056742893 
2020/12/26,66479895605 
2020/12/25,48332647295 
2020/12/24,42068395846 
2020/12/23,41080759713 
2020/12/22,51146161904 
2020/12/21,44171632681 
2020/12/20,45852713981 
2020/12/19,37844228422 
2020/12/18,38487546580 
2020/12/17,40387896275 
2020/12/16,71378606374 
2020/12/15,44409011479 
2020/12/14,26741982541 
2020/12/13,22473997681 
2020/12/12,25450468637 
2020/12/11,21752580802 
2020/12/10,27919640985 
2020/12/9,25547132265 
2020/12/8,34420373071 
2020/12/7,31692288756 
2020/12/6,26896357742 
2020/12/5,25293775714 
2020/12/4,27242455064 
2020/12/3,33872388058 
2020/12/2,31930317405 
2020/12/1,37387697139 
2020/11/30,49633658712 
2020/11/29,47728480399 
2020/11/28,31133957704 
2020/11/27,32601040734 
2020/11/26,38886494645 
2020/11/25,61396835737 
2020/11/24,43710357371 
2020/11/23,51469565009 
2020/11/22,42741112308 
2020/11/21,41280434226 
2020/11/20,39650210707 
2020/11/19,36992873940 
2020/11/18,36985055355 
2020/11/17,49064800278 
2020/11/16,39006849170 
2020/11/15,31526766675 
2020/11/14,23653867583 
2020/11/13,27481710135 
2020/11/12,31599492172 
2020/11/11,34175758344 
2020/11/10,29772374934 
2020/11/9,25574938143 
2020/11/8,34149115566 
2020/11/7,26632075029 
2020/11/6,35024953706 
2020/11/5,39837841971 
2020/11/4,40856321439 
2020/11/3,35116364962 
2020/11/2,29869951617 
2020/11/1,30771455468 
2020/10/31,24453857900 
2020/10/30,30306464719 
2020/10/29,30581485201 
2020/10/28,56499499598 
2020/10/27,35867318895 
2020/10/26,33749878156 
2020/10/25,29461458313 
2020/10/24,24406920575 
2020/10/23,24542317940 
2020/10/22,28974975003 
2020/10/21,34729759598 
2020/10/20,43414712626 
2020/10/19,30915821592 
2020/10/18,23860769928 
2020/10/17,18283314340 
2020/10/16,19130430174 
2020/10/15,25635480772 
2020/10/14,24487233058 
2020/10/13,24103426719 
2020/10/12,24241420251 
2020/10/11,26163972642 
2020/10/10,19968627060 
2020/10/9,22877978588 
2020/10/8,22799117613 
2020/10/7,63314794397 
2020/10/6,37799458436 
2020/10/5,42623695307 
2020/10/4,47537578009 
2020/10/3,71251776995 
2020/10/2,44660271563 
2020/10/1,48661453918 
2020/9/30,40023134100 
2020/9/29,44171073700 
2020/9/28,46582396602 
2020/9/27,47762394731 
2020/9/26,53745972818 
2020/9/25,46852525493 
2020/9/24,39348590957 
2020/9/23,47144380902 
2020/9/22,23788661867 
2020/9/21,23621787804 
2020/9/20,28884999244 
2020/9/19,24699523788 
2020/9/18,22764204008 
2020/9/17,26341903912 
2020/9/16,38151810523 
2020/9/15,30769986455 
2020/9/14,32509451925 
2020/9/13,35453581940 
2020/9/12,36506852789 
2020/9/11,36750077324 
2020/9/10,45201121775 
2020/9/9,54406443211 
2020/9/8,24128292755 
2020/9/7,33430927462 
2020/9/6,33703098409 
2020/9/5,37071460174 
2020/9/4,44916565292 
2020/9/3,29965130374 
2020/9/2,31927261555 
2020/9/1,28037405299 
2020/8/31,27311555343 
2020/8/30,22285928250 
2020/8/29,19760127945 
2020/8/28,17485597759 
2020/8/27,19807127588 
2020/8/26,23240415076 
2020/8/25,22466660958 
2020/8/24,26301509932 
2020/8/23,20681511755 
2020/8/22,18482062658 
2020/8/21,20224191306 
2020/8/20,23762425999 
2020/8/19,20175242945 
2020/8/18,24502851117 
2020/8/17,26043227672 
2020/8/16,28227687027 
2020/8/15,20583375490 
2020/8/14,23354924400 
2020/8/13,24237958589 
2020/8/12,27522199497 
2020/8/11,25064548486 
2020/8/10,27039782640 
2020/8/9,26114112569 
2020/8/8,17489608833 
2020/8/7,17572057837 
2020/8/6,23132312867 
2020/8/5,23400740340 
2020/8/4,24411254471 
2020/8/3,21250197042 
2020/8/2,20271713443 
2020/8/1,27410067336 
2020/7/31,26075670303 
2020/7/30,23160469766 
2020/7/29,22857247901 
2020/7/28,24617249715 
2020/7/27,28766551142 
2020/7/26,35359749590 
2020/7/25,20507998997 
2020/7/24,16610070933 
2020/7/23,16552768325 
2020/7/22,18146399002 
2020/7/21,16532254884 
2020/7/20,18069581956 
2020/7/19,13755604146 
2020/7/18,12939002784 
2020/7/17,12252601475 
2020/7/16,13944570749 
2020/7/15,15713967523 
2020/7/14,15844731575 
2020/7/13,18085038362 
2020/7/12,17519821266 
2020/7/11,14452361907 
2020/7/10,13249910444 
2020/7/9,16860035605 
2020/7/8,18000702524 
2020/7/7,19702359883 
2020/7/6,13839652595 
2020/7/5,17889263252 
2020/7/4,12903406143 
2020/7/3,12290528515 
2020/7/2,13078970999 
2020/7/1,16338916796 
2020/6/30,15971550355 
2020/6/29,15735797744 
2020/6/28,16460547078 
2020/6/27,14560870760 
2020/6/26,17273093144 
2020/6/25,18341465837 
2020/6/24,18616048626 
2020/6/23,18961716076 
2020/6/22,17006433272 
2020/6/21,21104009514 
2020/6/20,15324301169 
2020/6/19,17130541557 
2020/6/18,19632223107 
2020/6/17,17770083003 
2020/6/16,20177709879 
2020/6/15,21565537209 
2020/6/14,26699704768 
2020/6/13,18991732746 
2020/6/12,17564322315 
2020/6/11,22610564515 
2020/6/10,30247143440 
2020/6/9,25706567601 
2020/6/8,23717842783 
2020/6/7,21486346312 
2020/6/6,25015250846 
2020/6/5,20438419222 
2020/6/4,23509628646 
2020/6/3,25921805072 
2020/6/2,25007459262 
2020/6/1,39137252109 
2020/5/31,35198901068 
2020/5/30,27773290299 
2020/5/29,32722975141 
